,Time,Names,ConfirmedCases,Recovered,Deaths,Population,LandArea,MedianAge,German
147,2020-03-22,MOLDOVA,80,1,1,4033963,32850,38,Moldawien
148,2020-03-22,REUNION,47,0,0,895312,2500,36,Réunion
149,2020-03-22,ROMANIA,367,52,52,19237691,230170,43,Rumänien
150,2020-03-22,RUSSIA,306,16,16,145934462,16376870,40,Russland
151,2020-03-22,RWANDA,17,0,0,12952218,24670,20,Rwanda
152,2020-03-22,SAINT LUCIA,2,0,0,183627,610,34,Saint Lucia
153,2020-03-22,SAINT VINCENT,1,0,0,110940,390,33,Saint Vincent
154,2020-03-22,SAMOA,0,0,0,198414,2830,22,Samoa
155,2020-03-22,SAO TOME AND PRINCIPE,0,0,0,219159,960,19,Sao Tome Und Principe
156,2020-03-22,SAUDI ARABIA,392,16,16,34813871,2149690,32,Saudi Arabien
157,2020-03-22,SENEGAL,56,5,5,16743927,192530,19,Senegal
158,2020-03-22,SERBIA,188,2,2,8737371,87460,42,Serbien
159,2020-03-22,SEYCHELLES,7,0,0,98347,460,34,Seychelles
160,2020-03-22,SIERRA LEONE,0,0,0,7976983,72180,19,Sierra Leone
161,2020-03-22,SINGAPORE,432,140,140,5850342,700,42,Singapur
162,2020-03-22,SLOVAKIA,178,7,7,5459642,48088,41,Slowakei
163,2020-03-22,SLOVENIA,383,0,0,2078938,20140,45,Slowenien
164,2020-03-22,SOLOMON ISLANDS,0,0,0,686884,27990,20,Salomon-Inseln
165,2020-03-22,SOMALIA,1,0,0,15893222,627340,17,Somalia
166,2020-03-22,S. AFRICA,240,2,2,59308690,1213090,28,Südafrika
167,2020-03-22,S. SUDAN,0,0,0,11193725,610952,19,Südsudan
168,2020-03-22,SPAIN,25496,2125,2125,46754778,498800,45,Spanien
169,2020-03-22,SRI LANKA,77,3,3,21413249,62710,34,Sri Lanka
170,2020-03-22,PALESTINE,53,17,17,5101414,6020,21,Palästina
171,2020-03-22,SUDAN,2,0,0,43849260,1765048,20,Sudan
172,2020-03-22,SURINAME,5,0,0,586632,156000,29,Suriname
173,2020-03-22,SWEDEN,1770,16,16,10099265,410340,41,Schweden
174,2020-03-22,SWITZERLAND,6863,131,131,8654622,39516,43,Schweiz
175,2020-03-22,SYRIAN ARAB REPUBLIC,0,0,0,-1,-1,-1,Syrien
176,2020-03-22,TAJIKISTAN,0,0,0,9537645,139960,22,Tajikistan
177,2020-03-22,THAILAND,599,45,45,69799978,510890,40,Thailand
178,2020-03-22,TIMOR-LESTE,1,0,0,1318445,14870,21,Timor-Leste
179,2020-03-22,TOGO,16,1,1,8278724,54390,19,Togo
180,2020-03-22,TONGA,0,0,0,105695,720,22,Tonga
181,2020-03-22,TRINIDAD AND TOBAGO,49,0,0,1399488,5130,36,Trinidad Und Tobago
182,2020-03-22,TUNISIA,60,1,1,11818619,155360,33,Tunesien
183,2020-03-22,TURKEY,947,0,0,84339067,769630,32,Türkei
184,2020-03-22,TURKMENISTAN,0,0,0,6031200,469930,27,Turkmenistan
185,2020-03-22,UGANDA,1,0,0,45741007,199810,17,Uganda
186,2020-03-22,UKRAINE,48,1,1,43733762,579320,41,Ukraine
187,2020-03-22,UAE,153,38,38,19890402,83600,33,Vereinigte Arabische Emirate
188,2020-03-22,UNITED KINGDOM,5018,93,93,67886011,241930,40,Grossbritannien
189,2020-03-22,TANZANIA,6,0,0,59734218,885800,18,Tansania
190,2020-03-22,UNITED STATES,26892,178,178,331002651,9147420,38,Vereinigte Staaten
191,2020-03-22,US VIRGIN ISLANDS,6,0,0,-1,-1,-1,Us Jungferninseln
192,2020-03-22,URUGUAY,135,2,2,3473730,175020,36,Uruguay
193,2020-03-22,UZBEKISTAN,43,0,0,33469203,425400,28,Usbekistan
194,2020-03-22,VANUATU,0,0,0,307145,12190,21,Vanuatu
195,2020-03-22,VENEZUELA,70,15,15,28435940,882050,30,Venezuela
196,2020-03-22,VIETNAM,94,17,17,97338579,310070,32,Vietnam
197,2020-03-22,WESTERN SAHARA,0,0,0,597339,266000,28,Westsahara
198,2020-03-22,YEMEN,0,0,0,29825964,527970,20,Jemen
199,2020-03-22,ZAMBIA,2,0,0,18383955,743390,18,Sambia
200,2020-03-22,ZIMBABWE,3,0,0,14862924,386850,19,Zimbabwe
201,2020-03-22,OTHER,712,567,567,-1,-1,-1,Diamond Princess (Schiff)
202,2020-03-22,SAN MARINO,160,4,4,33931,60,-1,San Marino
203,2020-03-22,MONACO,18,1,1,39242,1,-1,Monaco
204,2020-03-22,ANDORRA,88,1,1,77265,470,-1,Andorra
205,2020-03-22,LIECHTENSTEIN,37,0,0,38128,160,-1,Liechtenstein
206,2020-03-22,FAEROE ISLANDS,92,3,3,48863,1396,-1,Färöer Inseln
207,2020-03-22,GIBRALTAR,10,2,2,33691,10,-1,Gibraltar
208,2020-03-22,VATICAN CITY,1,0,0,825,1,-1,Vatikanstadt
209,2020-03-22,SAINT BARTHELEMY,3,0,0,9877,21,-1,Saint Barthelemy
210,2020-03-22,SAINT MARTIN,5,0,0,38666,53,-1,Sankt Martin
211,2020-03-22,CAYMAN ISLAND,3,0,0,65722,240,-1,Cayman Inseln
212,2020-03-22,KOSOVO,0,0,0,1945000,-1,-1,Kosovo
213,2020-03-22,GREENLAND,2,0,0,56770,410450,-1,Grönland
214,2020-03-22,MONTSERRAT,1,0,0,4992,100,-1,Montserrat
215,2020-03-22,SINT MAARTEN,1,0,0,42876,34,-1,Alderney
216,2020-03-22,BERMUDA,2,0,0,62278,50,-1,Bermuda
217,2020-03-22,ISLE OF MAN,2,0,0,85033,570,-1,Isle Of Man
218,2020-03-22,noname12,0,0,0,-1,-1,-1,Noname12
219,2020-03-22,noname13,0,0,0,-1,-1,-1,Noname13
220,2020-03-22,noname14,0,0,0,-1,-1,-1,Noname14
221,2020-03-22,noname15,0,0,0,-1,-1,-1,Noname15
222,2020-03-22,noname16,0,0,0,-1,-1,-1,Noname16
223,2020-03-22,noname17,0,0,0,-1,-1,-1,Noname17
224,2020-03-22,noname18,0,0,0,-1,-1,-1,Noname18
225,2020-03-23,AFGHANISTAN,40,1,1,38928346,652860,18,Afghanistan
226,2020-03-23,ALBANIA,89,2,2,2877797,27400,36,Albanien
227,2020-03-23,ALGERIA,201,65,65,43851044,2381740,29,Algerien
228,2020-03-23,ANGOLA,2,0,0,32866272,1246700,17,Angola
229,2020-03-23,ANTIGUA AND BARBUDA,1,0,0,97929,440,34,Antigua Und Barbuda
230,2020-03-23,ARGENTINA,266,27,27,45195774,2736690,32,Argentinien
231,2020-03-23,ARMENIA,194,2,2,2963243,28470,35,Armenien
232,2020-03-23,ARUBA,9,1,1,106766,180,41,Aruba
233,2020-03-23,AUSTRALIA,1709,119,119,25499884,7682300,38,Australien
234,2020-03-23,AUSTRIA,3627,9,9,9006398,82409,43,Österreich
235,2020-03-23,AZERBAIJAN,65,11,11,10139177,82658,32,Aserbaidschan
236,2020-03-23,BAHAMAS,4,0,0,393244,10010,32,Bahamas
237,2020-03-23,BAHRAIN,334,149,149,1701575,760,32,Bahrain
238,2020-03-23,BANGLADESH,27,5,5,164689383,130170,28,Bangladesch
239,2020-03-23,BARBADOS,14,0,0,287375,430,40,Barbados
240,2020-03-23,BELARUS,76,15,15,9449323,202910,40,Weissrussland
241,2020-03-23,BELGIUM,3401,340,340,11589623,30280,42,Belgien
242,2020-03-23,BELIZE,0,0,0,397628,22810,25,Belize
243,2020-03-23,BENIN,2,0,0,12123200,112760,19,Benin
244,2020-03-23,BHUTAN,2,0,0,771608,38117,28,Bhutan
245,2020-03-23,BOLIVIA,27,0,0,11673021,1083300,26,Bolivien
246,2020-03-23,BOSNIA-HERZEGOVINA,126,2,2,3280819,51000,43,Bosnien-Herzegowina
247,2020-03-23,BOTSWANA,0,0,0,2351627,566730,24,Botswana
248,2020-03-23,BRAZIL,1604,5,5,212559417,8358140,33,Brasilien
249,2020-03-23,BRUNEI,88,2,2,437479,5270,32,Brunei
250,2020-03-23,BULGARIA,190,3,3,6948445,108560,45,Bulgarien
251,2020-03-23,BURKINA FASO,75,5,5,20903273,273600,18,Burkina Faso
252,2020-03-23,BURUNDI,0,0,0,11890784,25680,17,Burundi
253,2020-03-23,CABO VERDE,3,0,0,555987,4030,28,Kapverden
254,2020-03-23,CAMBODIA,86,2,2,16718965,176520,26,Kambodscha
255,2020-03-23,CAMEROON,56,2,2,26545863,472710,19,Kamerun
256,2020-03-23,CANADA,1472,18,18,37742154,9093510,41,Kanada
257,2020-03-23,CENTRAL AFRICAN REPUBLIC,3,0,0,4829767,622980,18,Zentralafrikanische Republik
258,2020-03-23,CHAD,1,0,0,16425864,1259200,17,Tschad
259,2020-03-23,CHANNEL ISLANDS,32,0,0,173863,190,43,Kanalinseln
260,2020-03-23,CHILE,632,8,8,19116201,743532,35,Chile
261,2020-03-23,"CHINA, Mainland",81113,72709,72709,1439323776,9388211,38,China
262,2020-03-23,HONG KONG,318,100,100,7496981,1050,45,Hongkong
263,2020-03-23,MACAU,24,10,10,649335,30,39,Macau
264,2020-03-23,TAIWAN,195,28,28,23816775,35410,42,Taiwan
265,2020-03-23,COLOMBIA,235,3,3,50882891,1109500,31,Kolumbien
266,2020-03-23,COMOROS,0,0,0,869601,1861,20,Comoros
267,2020-03-23,CONGO,3,0,0,5518087,341500,19,Kongo
268,2020-03-23,COSTA RICA,134,2,2,5094118,51060,33,Costa Rica
269,2020-03-23,COTE D'IVOIRE,14,1,1,26378274,318000,19,Elfenbeinkueste
270,2020-03-23,CROATIA,254,5,5,4105267,55960,44,Kroatien
271,2020-03-23,CUBA,35,2,2,11326616,106440,42,Kuba
272,2020-03-23,CURACAO,3,0,0,164093,444,42,Curacao
273,2020-03-23,CYPRUS,95,3,3,1207359,9240,37,Zypern
274,2020-03-23,CZECHIA,1120,6,6,-1,-1,-1,Tschechische Republik
275,2020-03-23,DPR KOREA,0,0,0,25778816,120410,35,Dpr Korea
276,2020-03-23,DR CONGO,30,0,0,89561403,2267050,17,Dr Kongo
277,2020-03-23,DENMARK,1514,3,3,5792202,42430,42,Dänemark
278,2020-03-23,DJIBOUTI,1,0,0,988000,23180,27,Djibouti
279,2020-03-23,DOMINICAN REPUBLIC,202,2,2,10847910,48320,28,Dominikanische Republik
280,2020-03-23,ECUADOR,789,3,3,17643054,248360,28,Ecuador
281,2020-03-23,EGYPT,327,56,56,102334404,995450,25,Ägypten
